Dataset Title,Data Provider,Socrata Link
Transparency Online Project (TOPS) - State Government Revenue and Expenditures in Colorado,DPA,rifs-n6ib
Truck Station Electrification in Colorado 2014,AFDC,c8jj-hcxj
GDP by Metropolitan Statistical Area,BEA,82s5-cpkk
Personal Consumption Expenditures,BEA,n55r-9hud
Farmers Markets in Colorado 2017,CDA,ms6b-y4xc
Aquaculture Facilities in Colorado,CDA,e6e8-qmi7
Degrees Awarded to Post-Secondary Graduates in Colorado,CDHE,hxf8-ab6k
Enrollment Demographics for Post-Secondary Graduates in Colorado,CDHE,p8m4-v33g
Post-Secondary Financial Aid Demographics in Colorado,CDHE,g53r-j5td
School Programs in Colorado,CDLE,jnj7-fw37
Long-Term Employment Projections in Colorado,CDLE,gyeb-jc69
Short-Term Employment Projections in Colorado,CDLE,u2t6-bfhr
Employee Counts by Industry in Colorado,CDLE,cjkq-q9ih
Unemployment Estimates in Colorado,CDLE,4e3w-qire
Employment Wages in Colorado,CDLE,busm-qa5b
Personal Income in Colorado,CDLE,2cpa-vbur
Population Estimates by Year for Counties in Colorado 2015,CDLE,bu8h-8sux
Hours Worked by Employees in Colorado,CDLE,pt2g-89wc
Consumer Price Index 2014,CDLE,bynd-i2hj
Retail Reports by Industry and City in Colorado,CDOR,k3gg-hhc8
Retail Reports by County in Colorado,CDOR,x8tb-f3vh
Retail Reports by City in Colorado,CDOR,2yhn-3dbj
Retail Reports by Industry in Colorado,CDOR,6kn4-89kh
Restaurant Inspections in Tri-County Colorado,TCHD,869n-zj3f
Licensed Marijuana Businesses in Colorado,CDOR,sqs8-2un5
State Sales Tax Revenue from Marijuana in Colorado,CDOR,3sm5-jtur
State Retail Marijuana Sales Tax Revenue by City in Colorado,CDOR,ehk3-i5tr
State Retail Marijuana Sales Tax Revenue by County in Colorado,CDOR,v9m8-x8dh
Marijuana Sales Revenue in Colorado,CDOR,j7a3-jgd3
Liquor Compliance Check Statistics in Colorado,CDOR,kapc-ib6e
Recently Approved Liquor Licenses in Colorado,CDOR,htyp-tqzh
Liquor Licenses in Colorado,CDOR,ier5-5ms2
Recently Expired and Surrendered Liquor Licenses in Colorado,CDOR,pwjb-9dd5
Sales Rooms in Colorado,CDOR,9pwz-gi5v
Manufacturer Temporary Sales Room Permits in Colorado,CDOR,d4s4-xqg6
Denver Parcels,City and county of Denver,msap-49q7
Tree Inventory Denver,City and county of Denver,wz8h-dap6
General Improvement Districts Denver,City and county of Denver,g62i-kdzu
Neighborhood Business Revitalization Corridors Denver,City and county of Denver,ifza-iedd
Points of Interest in Denver,City and county of Denver,y6w6-igw6
Food Stores in Denver,City and county of Denver,hysf-mrke
Body Art Licenses Denver,City and county of Denver,n9gj-cjub
Business Improvement Districts Denver,City and county of Denver,qtga-qgdf
Active Business Licenses Denver,City and county of Denver,s9wt-dsfz
Tree Canopy Assesment 2013 Denver,City and county of Denver,xi27-7j3e
"Businesses Issued Outdoor Expansion Permits in Denver, Colorado",City and county of Denver,6ntv-x37b
Liquor Permits for Special Events in Colorado,CDOR,d6t8-xish
Building Material Sales in Colorado,CDOR,hbkb-4hbj
Motor Vehicle Sales in Colorado,CDOR,pdd3-umrz
Restaurant Sales in Colorado,CDOR,rjvq-j29g
Retail Reports by Industry and County in Colorado,CDOR,fe4v-h3pk
Taxes by County and Industry in Colorado,CDOR,ax6t-kdim
County Areas Collecting State Sales Tax in Colorado,CDOR,h5yt-egtp
Use Tax Rates for Districts in Colorado,CDOR,kch9-6p6i
City Tax Rates Without State Collected Tax in Colorado,CDOR,nd6a-59yu
City Areas Collecting State Sales Tax in Colorado,CDOR,wx84-he7r
Licensed Real Estate Professionals in Colorado,DORA,4zse-6bnw
COVID-19 Liquor License Modifications in Colorado,CDOR,e7wz-djhw
Charities Solicitation Type by Solicitation in Colorado,CDOS,34aw-ny67
Current Notaries in Colorado,CDOS,k4uv-yvnk
Restaurant Inspections in Boulder County,BOCO,tuvj-xz3m
Durable Medical Equipment Suppliers in Colorado,CDOS,s7ct-nf65
Directory of Lobbyist Clients in Colorado,CDOS,35k5-cv8s
Directory of Lobbyists in Colorado,CDOS,bqa5-gr84
Expenses for Lobbyists in Colorado,CDOS,eqsm-7ah7
Characterization of Lobbyist Clients in Colorado,CDOS,g89g-muvw
Subcontractors for Lobbyists in Colorado,CDOS,gcmk-9nwy
Bill Information and Position with Income of Lobbyist in Colorado,CDOS,gxnn-wthy
Business Entity Transaction History,CDOS,casm-dbbj
Federal Tax-Exempt Subsection Codes in Colorado,CDOS,2z9k-uy4q
Other State Solicitation of Charities’ Registrants in Colorado,CDOS,5wyf-xqw7
Paid Solicitor Solicitation Notices in Colorado,CDOS,ew9y-6tv9
Communication Methods Used in Solicitation Campaigns in Colorado,CDOS,w6kb-3vsj
Charitable Solicitation Call Center Locations in Colorado,CDOS,wwhd-vg25
Campaign Reports for Solicitation Notices to Charities in Colorado,CDOS,fdcw-ei67
"Registration of Charities, Paid Solicitors, Professional Fundraising Consultants, and for-profit Public Benefit Corporations in Colorado",CDOS,37wu-kn3g
Charitable Purpose of the Charity in Colorado,CDOS,7jm9-f28m
Solicitation Campaign Supervisors Listed on Solicitation Notices in Colorado,CDOS,hyr8-d3v9
"Persons Associated with Charitable Organizations, Paid Solicitors, and Professional Fundraising Consultants in Colorado",CDOS,mr4v-jz8u
Charitable Organizations’ Offices in Colorado,CDOS,3qtu-edua
