Dataset Title,API Field Name,Description
Personal Income in Colorado,stateabbrv,The two letter state abbreviation.
Personal Income in Colorado,statename,State name.
Personal Income in Colorado,stfips,State FIPS code.
Personal Income in Colorado,areatyname,Descriptive title of the areatype.
Personal Income in Colorado,areaname,Geographic area name.
Personal Income in Colorado,areatype,"Code describing type of geographic area: e.g. county, service delivery area, MSA."
Personal Income in Colorado,area,Six-digit code assigned to represent a geographic area. Front fill with zeroes.
Personal Income in Colorado,periodyear,Character representation of calendar-year (e.g. 1996).
Personal Income in Colorado,periodtype,"Code describing type of period (e.g. Annual, quarterly, monthly, etc.)."
Personal Income in Colorado,pertypdesc,A description of the period type.
Personal Income in Colorado,period,Period Code. Will be set to '00' where periodtype is annual.
Personal Income in Colorado,inctype,Code describing type of income measure.
Personal Income in Colorado,incdesc,Income measure description.
Personal Income in Colorado,incsource,Source of the income measure.
Personal Income in Colorado,incsrcdesc,Description of income source.
Personal Income in Colorado,income,Value of income measure.
Personal Income in Colorado,incrank,Rank of income measure.
Personal Income in Colorado,population,"Population of the geography referenced.(related to inctype e.g., number of households, number of families, number persons)"
Personal Income in Colorado,releasedate,Release Date
Crime Arrests by Police District 2001-2016 in Colorado,year,The year in which the arrest occurred
Crime Arrests by Police District 2001-2016 in Colorado,adultcount,Count of arrests of individuals over the age of 18
Crime Arrests by Police District 2001-2016 in Colorado,juvenilecount,Count of arrests of individuals under the age of 18
Crime Arrests by Police District 2001-2016 in Colorado,type,Reason for arrest
Crime Arrests by Police District 2001-2016 in Colorado,policedistrict,District in which the arrest occurred
Highways in Colorado,endrefpt,A Linear Reference Number or Address Key (to the Thousandth of a Mile) Representing the Ending Point of a roadway Segment. A Unique Landmark Location (not the running measure) or (maybe a one-time true end measure) of a segment along a State Route. http://dtdapps.coloradodot.info/otis/catalog/ClassOn/EndRefPt
Highways in Colorado,route,"A Unique (3 Number - 1 Letter) Highway Identification Code or Designating for a State Highway, Business Route, U.S. Route or Tolled Facility. Odd numbers typically run North and South and Even numbers typically Run East and West. http://dtdapps.coloradodot.info/otis/catalog/CondOn/Route"
Highways in Colorado,the_geom,Auto generated field containing the geometry of each item. Users note that this field may or may not be completely accurate. It is recommended for the user to run a separate analysis.
Highways in Colorado,refpt,A Linear Reference Number or Address Key (to the Thousandth of a Mile) Representing the Starting Point of a roadway segment. A Unique Landmark Location (not the running measure) or (maybe a one-time true measure) of a roadway segment along a State Route. http://dtdapps.coloradodot.info/otis/catalog/ClassOn/RefPt
Highways in Colorado,seg_length,The Centerline Segment Length or Segment Distance (in Miles) to the Thousandth of a Mile. Length_ is the distance from one Road Segment to the next Road Segment. Length_ is a dimension or measurement that is carried out 3-decimal places. http://dtdapps.coloradodot.info/otis/catalog/CondOn/Length_
Highways in Colorado,region,A Domained Value Element (Region: 1-6) used to identify the Engineering Region number in which the Road Segment is located. http://dtdapps.coloradodot.info/otis/catalog/RegOn/Region
Highways in Colorado,tprid,The Transportation Planning Region (1-15) in which the individual record is located. http://dtdapps.coloradodot.info/otis/catalog/RegOn/TPRId
Highways in Colorado,commdistid,CDOT Commission District ID
Highways in Colorado,city,"Name of the City where the road resides, NONE if it is not in a city."
