Dataset Title,API Field Name,Description,Data Type
Personal Income in Colorado,stateabbrv,The two letter state abbreviation.,Plain Text
Personal Income in Colorado,statename,State name.,Plain Text
Personal Income in Colorado,stfips,State FIPS code.,Number
Personal Income in Colorado,areatyname,Descriptive title of the areatype.,Plain Text
Personal Income in Colorado,areaname,Geographic area name.,Plain Text
Personal Income in Colorado,areatype,"Code describing type of geographic area: e.g. county, service delivery area, MSA.",Number
Personal Income in Colorado,area,Six-digit code assigned to represent a geographic area. Front fill with zeroes.,Number
Personal Income in Colorado,periodyear,Character representation of calendar-year (e.g. 1996).,Number
Personal Income in Colorado,periodtype,"Code describing type of period (e.g. Annual, quarterly, monthly, etc.).",Number
Personal Income in Colorado,pertypdesc,A description of the period type.,Plain Text
Personal Income in Colorado,period,Period Code. Will be set to '00' where periodtype is annual.,Number
Personal Income in Colorado,inctype,Code describing type of income measure.,Number
Personal Income in Colorado,incdesc,Income measure description.,Plain Text
Personal Income in Colorado,incsource,Source of the income measure.,Number
Personal Income in Colorado,incsrcdesc,Description of income source.,Plain Text
Personal Income in Colorado,income,Value of income measure.,Number
Personal Income in Colorado,incrank,Rank of income measure.,Number
Personal Income in Colorado,population,"Population of the geography referenced.(related to inctype e.g., number of households, number of families, number persons)",Number
Personal Income in Colorado,releasedate,Release Date,Date & Time
Crime Arrests by Police District in Colorado,year,The year in which the arrest occurred,Number
Crime Arrests by Police District in Colorado,adultcount,Count of arrests of individuals over the age of 18,Number
Crime Arrests by Police District in Colorado,juvenilecount,Count of arrests of individuals under the age of 18,Number
Crime Arrests by Police District in Colorado,type,Reason for arrest,Plain Text
Crime Arrests by Police District in Colorado,policedistrict,District in which the arrest occurred,Plain Text
Highways in Colorado,endrefpt,A Linear Reference Number or Address Key (to the Thousandth of a Mile) Representing the Ending Point of a roadway Segment. A Unique Landmark Location (not the running measure) or (maybe a one-time true end measure) of a segment along a State Route. http://dtdapps.coloradodot.info/otis/catalog/ClassOn/EndRefPt,Number
Highways in Colorado,route,"A Unique (3 Number - 1 Letter) Highway Identification Code or Designating for a State Highway, Business Route, U.S. Route or Tolled Facility. Odd numbers typically run North and South and Even numbers typically Run East and West. http://dtdapps.coloradodot.info/otis/catalog/CondOn/Route",Text
Highways in Colorado,the_geom,Auto generated field containing the geometry of each item. Users note that this field may or may not be completely accurate. It is recommended for the user to run a separate analysis.,Multiline
Highways in Colorado,refpt,A Linear Reference Number or Address Key (to the Thousandth of a Mile) Representing the Starting Point of a roadway segment. A Unique Landmark Location (not the running measure) or (maybe a one-time true measure) of a roadway segment along a State Route. http://dtdapps.coloradodot.info/otis/catalog/ClassOn/RefPt,Number
Highways in Colorado,seg_length,The Centerline Segment Length or Segment Distance (in Miles) to the Thousandth of a Mile. Length_ is the distance from one Road Segment to the next Road Segment. Length_ is a dimension or measurement that is carried out 3-decimal places. http://dtdapps.coloradodot.info/otis/catalog/CondOn/Length_,Number
Highways in Colorado,region,A Domained Value Element (Region: 1-6) used to identify the Engineering Region number in which the Road Segment is located. http://dtdapps.coloradodot.info/otis/catalog/RegOn/Region,Text
Highways in Colorado,tprid,The Transportation Planning Region (1-15) in which the individual record is located. http://dtdapps.coloradodot.info/otis/catalog/RegOn/TPRId,Text
Highways in Colorado,commdistid,CDOT Commission District ID,Text
Highways in Colorado,city,"Name of the City where the road resides, NONE if it is not in a city.",Text
Highways in Colorado,fipscity,Federal Identification Processing Code from Census for Cities,Text
Highways in Colorado,county,"The County name the road resides, (eg Jefferson Co)",Text
Highways in Colorado,fipscounty,A 3 digit code representing a county,Text
Highways in Colorado,population,"A designation of the size of the population, established by the U.S. Bureau of Census. One of four values: (Rural, Small Urban, Urbanized, Large Urbanized)",Text
Highways in Colorado,funcclass,"Indicates the functional category and usage limitations of the segment of road, as defined by FHWA, and is broken down between rural and urban areas. http://dtdapps.coloradodot.info/otis/catalog/CiCoOff/funcClassID",Text
Highways in Colorado,routesign,"Indicates a type of Interstate, State or U.S. Highway or Business Route relative to the manner in which it is signed. http://dtdapps.coloradodot.info/otis/catalog/CiCoOff/routeSign",Text
Highways in Colorado,nhsdesig,A Domained Value Element (NHSDesig: 0-9) used to identify whether the Road Segment is designated as being part of the National Highway System. Also contains the text value (added at the end). http://dtdapps.coloradodot.info/otis/catalog/CiCoOff/NHSDesig,Text
Highways in Colorado,access_,"A Domained Value Code (access) used to identify the type of Access Control assigned to a Road Segment as defined by FHWA. Contains the text, not the code. http://dtdapps.coloradodot.info/otis/catalog/CiCoOff/ACCESS_",Text
